,rank_test_accuracy,param_criterion,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,mean_test_accuracy,mean_test_precision,mean_test_recall
3400,85,entropy,160,5,9,3,91.8,92.07,98.86
3555,89,entropy,20,4,10,5,91.77,92.15,98.7
3497,89,entropy,120,3,10,2,91.77,91.94,98.98
3556,91,entropy,40,4,10,5,91.77,92.09,98.78
3516,91,entropy,140,3,10,4,91.77,91.91,99.02
3509,93,entropy,180,3,10,3,91.73,91.97,98.9
3512,93,entropy,60,3,10,4,91.73,92.0,98.86
3517,93,entropy,160,3,10,4,91.73,91.94,98.94
3554,93,entropy,180,4,10,4,91.73,92.03,98.82
3537,97,entropy,20,4,10,3,91.73,92.17999999999999,98.61999999999999
3511,98,entropy,40,3,10,4,91.7,91.86999999999999,98.98
3514,99,entropy,100,3,10,4,91.67,91.84,98.98
3523,99,entropy,100,3,10,5,91.67,91.86999999999999,98.94
3539,99,entropy,60,4,10,3,91.67,91.96,98.82
3398,102,entropy,120,5,9,3,91.67,91.9,98.9
1748,102,gini,60,4,10,4,91.67,91.96,98.82
3522,102,entropy,80,3,10,5,91.67,91.81,99.02
3394,105,entropy,40,5,9,3,91.63,91.83,98.94
3495,105,entropy,80,3,10,2,91.63,91.9,98.86
3461,105,entropy,120,2,10,2,91.63,91.56,99.29
3506,108,entropy,120,3,10,3,91.63,91.9,98.86
3408,108,entropy,140,5,9,4,91.63,91.96,98.78
3405,110,entropy,80,5,9,4,91.60000000000001,91.89,98.82
3389,111,entropy,120,5,9,2,91.57,91.89,98.78
3391,111,entropy,160,5,9,2,91.57,91.8,98.9
3384,111,entropy,20,5,9,2,91.57,91.89,98.78
3399,111,entropy,140,5,9,3,91.57,91.8,98.9
3479,111,entropy,120,2,10,4,91.57,91.59,99.17
3418,116,entropy,160,5,9,5,91.53,91.83,98.82
1768,116,gini,100,5,10,2,91.53,91.92,98.7
3388,118,entropy,100,5,9,2,91.53,91.74,98.94
3392,118,entropy,180,5,9,2,91.53,91.77,98.9
3374,118,entropy,180,4,9,4,91.53,91.67999999999999,99.02
1780,118,gini,160,5,10,3,91.53,91.89,98.74000000000001
3407,118,entropy,120,5,9,4,91.53,91.75999999999999,98.9
3410,118,entropy,180,5,9,4,91.53,91.83,98.82
3493,118,entropy,40,3,10,2,91.53,91.73,98.94
3466,118,entropy,40,2,10,3,91.53,91.5,99.25
3409,126,entropy,160,5,9,4,91.5,91.75999999999999,98.86
3502,126,entropy,40,3,10,3,91.5,91.73,98.9
3390,126,entropy,140,5,9,2,91.5,91.79,98.82
3470,126,entropy,120,2,10,3,91.5,91.4,99.33
3371,126,entropy,120,4,9,4,91.5,91.7,98.94
3396,126,entropy,80,5,9,3,91.5,91.82000000000001,98.78
3372,126,entropy,140,4,9,4,91.5,91.73,98.9
3401,126,entropy,180,5,9,3,91.5,91.85,98.74000000000001
3413,126,entropy,60,5,9,5,91.5,91.85,98.74000000000001
3397,126,entropy,100,5,9,3,91.5,91.85,98.74000000000001
3419,136,entropy,180,5,9,5,91.5,91.73,98.9
3402,136,entropy,20,5,9,4,91.5,91.82000000000001,98.78
1792,136,gini,40,5,10,5,91.5,91.75999999999999,98.86
3406,136,entropy,100,5,9,4,91.5,91.85,98.74000000000001
3352,140,entropy,100,4,9,2,91.47,91.7,98.9
3510,141,entropy,20,3,10,4,91.47,91.64,98.98
1766,141,gini,60,5,10,2,91.47,91.7,98.9
1775,141,gini,60,5,10,3,91.47,91.94,98.59
1788,141,gini,140,5,10,4,91.47,91.79,98.78
1744,141,gini,160,4,10,3,91.47,91.79,98.78
1770,141,gini,140,5,10,2,91.47,91.79,98.78
3369,141,entropy,80,4,9,4,91.47,91.67,98.94
3373,148,entropy,160,4,9,4,91.43,91.64,98.94
3387,148,entropy,80,5,9,2,91.43,91.73,98.82
3395,150,entropy,60,5,9,3,91.43,91.69,98.86
3473,150,entropy,180,2,10,3,91.43,91.36,99.29
1786,150,gini,100,5,10,4,91.43,91.75999999999999,98.78
1765,150,gini,40,5,10,2,91.43,91.82000000000001,98.7
3519,150,entropy,20,3,10,5,91.43,91.66,98.9
1767,150,gini,80,5,10,2,91.43,91.79,98.74000000000001
3382,150,entropy,160,4,9,5,91.43,91.63,98.94
3354,150,entropy,140,4,9,2,91.43,91.67,98.9
3477,158,entropy,80,2,10,4,91.4,91.39,99.21
3465,158,entropy,20,2,10,3,91.4,91.39,99.21
3364,158,entropy,160,4,9,3,91.4,91.69,98.82
1741,158,gini,100,4,10,3,91.4,91.69,98.82
1781,158,gini,180,5,10,3,91.4,91.81,98.66
1779,158,gini,140,5,10,3,91.4,91.78,98.7
1774,158,gini,40,5,10,3,91.4,91.78,98.7
1769,158,gini,120,5,10,2,91.4,91.69,98.82
1789,158,gini,160,5,10,4,91.4,91.69,98.82
1747,167,gini,40,4,10,4,91.36999999999999,91.66,98.82
3404,167,entropy,60,5,9,4,91.36999999999999,91.63,98.86
1740,167,gini,80,4,10,3,91.36999999999999,91.69,98.78
3415,167,entropy,100,5,9,5,91.36999999999999,91.69,98.78
1735,167,gini,160,4,10,2,91.36999999999999,91.69,98.78
1732,167,gini,100,4,10,2,91.36999999999999,91.63,98.86
1787,167,gini,120,5,10,4,91.36999999999999,91.78,98.66
3474,167,entropy,20,2,10,4,91.36999999999999,91.3,99.29
3386,167,entropy,60,5,9,2,91.36999999999999,91.81,98.61999999999999
3361,167,entropy,100,4,9,3,91.36999999999999,91.53999999999999,98.98
3383,167,entropy,180,4,9,5,91.36999999999999,91.53999999999999,98.98
3370,167,entropy,100,4,9,4,91.36999999999999,91.69,98.78
3381,167,entropy,140,4,9,5,91.36999999999999,91.57,98.94
3501,167,entropy,20,3,10,3,91.36999999999999,91.75,98.7
1704,167,gini,80,3,10,3,91.36999999999999,91.69,98.78
1799,167,gini,180,5,10,5,91.36999999999999,91.75,98.7
1758,183,gini,80,4,10,5,91.33,91.66,98.78
1737,183,gini,20,4,10,3,91.33,91.69,98.74000000000001
1728,183,gini,20,4,10,2,91.33,91.81,98.59
3489,183,entropy,140,2,10,5,91.33,91.39,99.14
1736,183,gini,180,4,10,2,91.33,91.72,98.7
1776,183,gini,80,5,10,3,91.33,91.69,98.74000000000001
1756,183,gini,40,4,10,5,91.33,91.60000000000001,98.86
3412,183,entropy,40,5,9,5,91.33,91.71000000000001,98.7
3416,183,entropy,120,5,9,5,91.33,91.69,98.74000000000001
1790,183,gini,180,5,10,4,91.33,91.66,98.78
1734,183,gini,140,4,10,2,91.33,91.60000000000001,98.86
3467,194,entropy,60,2,10,3,91.3,91.25999999999999,99.25
1757,194,gini,60,4,10,5,91.3,91.71000000000001,98.66
3363,194,entropy,140,4,9,3,91.3,91.47,98.98
1745,194,gini,180,4,10,3,91.3,91.59,98.82
3490,194,entropy,160,2,10,5,91.3,91.38,99.1
1743,194,gini,140,4,10,3,91.3,91.64999999999999,98.74000000000001
1739,194,gini,60,4,10,3,91.3,91.67999999999999,98.7
3458,194,entropy,60,2,10,2,91.3,91.41,99.06
1771,194,gini,160,5,10,2,91.3,91.71000000000001,98.66
1729,194,gini,40,4,10,2,91.3,91.71000000000001,98.66
1784,204,gini,60,5,10,4,91.3,91.69,98.7
3482,204,entropy,180,2,10,4,91.3,91.38,99.1
1795,204,gini,100,5,10,5,91.3,91.62,98.78
1733,204,gini,120,4,10,2,91.3,91.64999999999999,98.74000000000001
3358,204,entropy,40,4,9,3,91.3,91.38,99.1
1772,204,gini,180,5,10,2,91.3,91.67999999999999,98.7
3411,204,entropy,20,5,9,5,91.3,91.81,98.55000000000001
1761,204,gini,140,4,10,5,91.3,91.62,98.78
1754,204,gini,180,4,10,4,91.3,91.53,98.9
1752,204,gini,140,4,10,4,91.3,91.64999999999999,98.74000000000001
1763,204,gini,180,4,10,5,91.3,91.62,98.78
1692,204,gini,20,3,10,2,91.3,91.66,98.74000000000001
3460,204,entropy,100,2,10,2,91.3,91.32000000000001,99.17
1711,204,gini,40,3,10,4,91.3,91.59,98.82
3417,218,entropy,140,5,9,5,91.27,91.62,98.74000000000001
1738,218,gini,40,4,10,3,91.27,91.56,98.82
3481,218,entropy,160,2,10,4,91.27,91.25999999999999,99.21
3462,218,entropy,140,2,10,2,91.27,91.32000000000001,99.14
1698,218,gini,140,3,10,2,91.27,91.56,98.82
3378,218,entropy,80,4,9,5,91.27,91.53,98.86
3356,218,entropy,180,4,9,2,91.27,91.53,98.86
3472,218,entropy,160,2,10,3,91.27,91.25999999999999,99.21
3468,218,entropy,80,2,10,3,91.27,91.2,99.29
3459,218,entropy,80,2,10,2,91.27,91.29,99.18
1708,218,gini,160,3,10,3,91.27,91.5,98.9
3471,218,entropy,140,2,10,3,91.27,91.38,99.06
3355,230,entropy,160,4,9,2,91.27,91.5,98.9
1798,230,gini,160,5,10,5,91.27,91.59,98.78
1796,232,gini,120,5,10,5,91.23,91.64999999999999,98.66
3414,232,entropy,80,5,9,5,91.23,91.53,98.82
3456,234,entropy,20,2,10,2,91.23,91.36999999999999,99.02
3469,234,entropy,100,2,10,3,91.23,91.25999999999999,99.18
1695,234,gini,80,3,10,2,91.23,91.62,98.7
3377,234,entropy,60,4,9,5,91.23,91.44,98.94
3457,234,entropy,40,2,10,2,91.23,91.22,99.21
3464,234,entropy,180,2,10,2,91.23,91.32000000000001,99.1
3365,234,entropy,180,4,9,3,91.23,91.5,98.86
1696,234,gini,100,3,10,2,91.23,91.44,98.94
1721,234,gini,60,3,10,5,91.23,91.52,98.82
1709,234,gini,180,3,10,3,91.23,91.5,98.86
1777,234,gini,100,5,10,3,91.23,91.52,98.82
1749,234,gini,80,4,10,4,91.23,91.53,98.82
1751,234,gini,120,4,10,4,91.23,91.67999999999999,98.61999999999999
3366,234,entropy,20,4,9,4,91.23,91.47,98.9
1746,248,gini,20,4,10,4,91.2,91.53,98.78
1694,248,gini,60,3,10,2,91.2,91.49000000000001,98.82
3323,248,entropy,60,3,9,3,91.2,91.36999999999999,98.98
1706,248,gini,120,3,10,3,91.2,91.46,98.86
3349,248,entropy,40,4,9,2,91.2,91.43,98.9
1702,248,gini,40,3,10,3,91.2,91.59,98.7
1778,248,gini,120,5,10,3,91.2,91.49000000000001,98.82
3379,248,entropy,100,4,9,5,91.2,91.46,98.86
1707,248,gini,140,3,10,3,91.2,91.47,98.86
1730,248,gini,60,4,10,2,91.2,91.58,98.7
1753,258,gini,160,4,10,4,91.2,91.43,98.9
1716,258,gini,140,3,10,4,91.2,91.43,98.9
1783,258,gini,40,5,10,4,91.2,91.61,98.66
1785,258,gini,80,5,10,4,91.2,91.59,98.7
3463,258,entropy,160,2,10,2,91.2,91.29,99.1
3380,258,entropy,120,4,9,5,91.2,91.43,98.9
3484,258,entropy,40,2,10,5,91.2,91.16,99.25
1731,265,gini,80,4,10,2,91.17,91.46,98.82
1760,265,gini,120,4,10,5,91.17,91.52,98.74000000000001
1773,265,gini,20,5,10,3,91.17,91.85,98.31
3351,265,entropy,80,4,9,2,91.17,91.49000000000001,98.78
3353,265,entropy,120,4,9,2,91.17,91.52,98.74000000000001
1782,265,gini,20,5,10,4,91.17,91.58,98.66
1700,265,gini,180,3,10,2,91.17,91.4,98.9
3487,265,entropy,100,2,10,5,91.17,91.16,99.21
1714,265,gini,100,3,10,4,91.17,91.49000000000001,98.78
1726,265,gini,160,3,10,5,91.17,91.4,98.9
3491,265,entropy,180,2,10,5,91.17,91.22,99.14
3376,265,entropy,40,4,9,5,91.17,91.46,98.82
3476,265,entropy,60,2,10,4,91.17,91.22,99.14
3367,278,entropy,40,4,9,4,91.17,91.4,98.9
1705,278,gini,100,3,10,3,91.17,91.46,98.82
3359,278,entropy,60,4,9,3,91.17,91.43,98.86
3393,281,entropy,20,5,9,3,91.13,91.51,98.7
1759,281,gini,100,4,10,5,91.13,91.43,98.82
3331,281,entropy,40,3,9,4,91.13,91.27,99.02
3480,281,entropy,140,2,10,4,91.13,91.03999999999999,99.33
1750,281,gini,100,4,10,4,91.13,91.46,98.78
1762,281,gini,160,4,10,5,91.13,91.49000000000001,98.74000000000001
1794,281,gini,80,5,10,5,91.13,91.52,98.7
1725,281,gini,140,3,10,5,91.13,91.34,98.94
3327,281,entropy,140,3,9,3,91.13,91.28,99.02
1717,290,gini,160,3,10,4,91.10000000000001,91.27,98.98
3317,290,entropy,120,3,9,2,91.10000000000001,91.33,98.9
1715,290,gini,120,3,10,4,91.10000000000001,91.3,98.94
3488,290,entropy,120,2,10,5,91.10000000000001,91.06,99.25
3326,290,entropy,120,3,9,3,91.10000000000001,91.21000000000001,99.06
1791,290,gini,20,5,10,5,91.10000000000001,91.57,98.59
1703,290,gini,60,3,10,3,91.10000000000001,91.33,98.9
3315,290,entropy,80,3,9,2,91.10000000000001,91.28,98.98
3475,290,entropy,40,2,10,4,91.10000000000001,91.01,99.33
3360,290,entropy,80,4,9,3,91.10000000000001,91.36,98.86
3368,290,entropy,60,4,9,4,91.10000000000001,91.42,98.78
3319,290,entropy,160,3,9,2,91.10000000000001,91.33,98.9
3362,290,entropy,120,4,9,3,91.10000000000001,91.4,98.82
3385,303,entropy,40,5,9,2,91.07,91.42,98.74000000000001
1797,303,gini,140,5,10,5,91.07,91.57,98.55000000000001
3403,303,entropy,40,5,9,4,91.07,91.39,98.78
1724,303,gini,120,3,10,5,91.07,91.36,98.82
3329,307,entropy,180,3,9,3,91.07,91.21000000000001,99.02
1722,307,gini,80,3,10,5,91.07,91.3,98.9
3357,307,entropy,20,4,9,3,91.07,91.39,98.78
1723,310,gini,100,3,10,5,91.03,91.27,98.9
3324,310,entropy,80,3,9,3,91.03,91.21000000000001,98.98
1727,310,gini,180,3,10,5,91.03,91.27,98.9
1764,310,gini,20,5,10,2,91.03,91.47999999999999,98.63
3346,310,entropy,160,3,9,5,91.03,91.12,99.1
3486,310,entropy,80,2,10,5,91.03,91.14999999999999,99.06
1699,316,gini,160,3,10,2,91.03,91.21000000000001,98.98
3325,316,entropy,100,3,9,3,91.03,91.21000000000001,98.98
3345,318,entropy,140,3,9,5,91.0,91.12,99.06
1719,318,gini,20,3,10,5,91.0,91.45,98.61999999999999
3350,320,entropy,60,4,9,2,91.0,91.33,98.78
3318,320,entropy,140,3,9,2,91.0,91.24,98.9
1713,320,gini,80,3,10,4,91.0,91.3,98.82
1718,320,gini,180,3,10,4,91.0,91.24,98.9
3335,320,entropy,120,3,9,4,91.0,91.2,98.94
3485,320,entropy,60,2,10,5,91.0,91.06,99.14
3483,320,entropy,20,2,10,5,91.0,91.03,99.18
3478,327,entropy,100,2,10,4,90.97,90.99000000000001,99.18
1676,327,gini,60,2,10,4,90.97,90.9,99.29
3316,329,entropy,100,3,9,2,90.97,91.08000000000001,99.06
3375,329,entropy,20,4,9,5,90.97,91.25999999999999,98.82
3314,329,entropy,60,3,9,2,90.97,91.05,99.1
3338,329,entropy,180,3,9,4,90.97,91.17,98.94
1670,329,gini,120,2,10,3,90.97,91.05,99.1
1710,334,gini,20,3,10,4,90.93,91.32000000000001,98.7
1657,334,gini,40,2,10,2,90.93,90.96,99.17
1697,334,gini,120,3,10,2,90.93,91.2,98.86
1793,334,gini,60,5,10,5,90.93,91.32000000000001,98.7
1701,334,gini,20,3,10,3,90.93,91.41,98.59
1742,339,gini,120,4,10,3,90.93,91.23,98.82
1673,340,gini,180,2,10,3,90.9,90.93,99.18
3336,340,entropy,140,3,9,4,90.9,91.08000000000001,98.98
1656,340,gini,20,2,10,2,90.9,90.9,99.21
3328,340,entropy,160,3,9,3,90.9,91.10000000000001,98.94
1560,340,gini,80,4,9,3,90.9,91.13,98.9
3348,340,entropy,20,4,9,2,90.9,91.19,98.82
3347,340,entropy,180,3,9,5,90.9,91.05,99.02
3337,340,entropy,160,3,9,4,90.9,91.08000000000001,98.98
3320,340,entropy,180,3,9,2,90.9,91.08000000000001,98.98
3343,340,entropy,100,3,9,5,90.9,91.11,98.94
3344,350,entropy,120,3,9,5,90.86999999999999,91.05,98.98
1662,351,gini,140,2,10,2,90.83,90.92,99.1
1712,351,gini,60,3,10,4,90.83,91.19,98.74000000000001
1668,351,gini,80,2,10,3,90.83,90.84,99.21
3340,354,entropy,40,3,9,5,90.83,91.13,98.82
1596,354,gini,80,5,9,3,90.83,91.16,98.78
1615,354,gini,100,5,9,5,90.83,91.10000000000001,98.86
1610,354,gini,180,5,9,4,90.83,91.13,98.82
1669,354,gini,100,2,10,3,90.83,90.92,99.1
1666,359,gini,40,2,10,3,90.8,90.77,99.25
1661,359,gini,120,2,10,2,90.8,90.83,99.17
1672,359,gini,160,2,10,3,90.8,90.95,99.02
3313,362,entropy,40,3,9,2,90.77,91.12,98.74000000000001
1658,362,gini,60,2,10,2,90.77,90.83,99.14
1597,364,gini,100,5,9,3,90.77,91.14999999999999,98.7
3342,364,entropy,80,3,9,5,90.77,90.97,98.94
3332,364,entropy,60,3,9,4,90.77,90.94,98.98
1664,364,gini,180,2,10,2,90.77,90.83,99.14
1571,368,gini,120,4,9,4,90.73,91.0,98.86
1687,368,gini,100,2,10,5,90.73,90.88000000000001,99.02
1609,368,gini,160,5,9,4,90.73,91.06,98.78
1691,368,gini,180,2,10,5,90.73,90.82000000000001,99.1
1589,368,gini,120,5,9,2,90.73,91.06,98.78
1590,373,gini,140,5,9,2,90.73,91.06,98.78
1603,374,gini,40,5,9,4,90.7,91.09,98.7
1690,374,gini,160,2,10,5,90.7,90.82000000000001,99.06
1755,374,gini,20,4,10,5,90.7,91.25999999999999,98.47
3290,374,entropy,120,2,9,3,90.7,90.59,99.37
3334,374,entropy,100,3,9,4,90.7,91.0,98.82
3339,379,entropy,20,3,9,5,90.67,90.88000000000001,98.94
1659,379,gini,80,2,10,2,90.67,90.82000000000001,99.02
1693,379,gini,40,3,10,2,90.67,91.09,98.66
1604,379,gini,60,5,9,4,90.67,90.99000000000001,98.78
1592,383,gini,180,5,9,2,90.63,90.93,98.82
1674,383,gini,20,2,10,4,90.63,90.78,99.02
1677,383,gini,80,2,10,4,90.63,90.78,99.02
1660,383,gini,100,2,10,2,90.63,90.7,99.14
1605,383,gini,80,5,9,4,90.63,91.02,98.7
1601,388,gini,180,5,9,3,90.63,91.02,98.7
1581,388,gini,140,4,9,5,90.63,90.84,98.94
1554,388,gini,140,4,9,2,90.63,90.9,98.86
1663,388,gini,160,2,10,2,90.63,90.64,99.21
1531,388,gini,40,3,9,4,90.63,90.82000000000001,98.98
1667,393,gini,60,2,10,3,90.60000000000001,90.75,99.02
1599,393,gini,140,5,9,3,90.60000000000001,90.84,98.9
1720,393,gini,40,3,10,5,90.60000000000001,91.05,98.61999999999999
3322,393,entropy,40,3,9,3,90.60000000000001,90.78,98.98
1573,393,gini,160,4,9,4,90.60000000000001,90.9,98.82
1688,393,gini,120,2,10,5,90.60000000000001,90.72,99.06
1679,393,gini,120,2,10,4,90.60000000000001,90.63,99.18
1587,400,gini,80,5,9,2,90.60000000000001,90.9,98.82
3341,400,entropy,60,3,9,5,90.60000000000001,90.7,99.1
3333,400,entropy,80,3,9,4,90.60000000000001,90.78,98.98
3321,400,entropy,20,3,9,3,90.60000000000001,91.02,98.66
1551,404,gini,80,4,9,2,90.57,90.9,98.78
1671,404,gini,140,2,10,3,90.57,90.69,99.06
1579,404,gini,100,4,9,5,90.57,90.84,98.86
1563,404,gini,140,4,9,3,90.57,90.84,98.86
1612,404,gini,40,5,9,5,90.57,90.98,98.66
1681,404,gini,160,2,10,4,90.57,90.72,99.02
1689,404,gini,140,2,10,5,90.57,90.69,99.06
1553,404,gini,120,4,9,2,90.57,90.89,98.78
3287,404,entropy,60,2,9,3,90.57,90.48,99.33
1618,404,gini,160,5,9,5,90.57,90.92,98.74000000000001
1598,414,gini,120,5,9,3,90.57,90.92,98.74000000000001
3216,415,entropy,80,5,8,3,90.53,90.8,98.86
1585,415,gini,40,5,9,2,90.53,90.89,98.74000000000001
3205,415,entropy,40,5,8,2,90.53,90.8,98.86
1580,418,gini,120,4,9,5,90.53,90.86,98.78
1678,418,gini,100,2,10,4,90.53,90.66,99.06
1614,418,gini,80,5,9,5,90.53,90.8,98.86
1564,418,gini,160,4,9,3,90.53,90.86,98.78
1555,418,gini,160,4,9,2,90.53,90.83,98.82
3330,418,entropy,20,3,9,4,90.53,90.83,98.82
1570,418,gini,100,4,9,4,90.53,90.86999999999999,98.78
1559,418,gini,60,4,9,3,90.53,90.77,98.9
1567,426,gini,40,4,9,4,90.5,90.83,98.78
1572,426,gini,140,4,9,4,90.5,90.8,98.82
1608,426,gini,140,5,9,4,90.5,90.89,98.7
3282,426,entropy,140,2,9,2,90.5,90.42,99.33
1515,426,gini,80,3,9,2,90.5,90.71000000000001,98.94
1593,426,gini,20,5,9,3,90.5,90.95,98.63
1557,426,gini,20,4,9,3,90.5,90.8,98.82
1686,426,gini,80,2,10,5,90.5,90.60000000000001,99.1
3312,426,entropy,20,3,9,2,90.5,90.77,98.86
1682,426,gini,180,2,10,4,90.5,90.64999999999999,99.02
1619,426,gini,180,5,9,5,90.5,90.8,98.82
1607,437,gini,120,5,9,4,90.5,90.89,98.7
1665,437,gini,20,2,10,3,90.5,90.8,98.82
1683,437,gini,20,2,10,5,90.5,90.60000000000001,99.1
1558,440,gini,40,4,9,3,90.47,90.86,98.7
1595,440,gini,60,5,9,3,90.47,90.8,98.78
3195,440,entropy,20,4,8,5,90.47,90.62,99.02
1685,440,gini,60,2,10,5,90.47,90.47,99.21
1550,440,gini,60,4,9,2,90.47,90.74,98.86
1583,440,gini,180,4,9,5,90.47,90.74,98.86
