3.206070312267187546e+04 2.614590076040212443e+04 3.963866452500109062e+03 4.503795140963822632e+03 2.234824370049088884e+02 1.129836584122794193e+03 6.735151744225067887e+03 7.249805347760269797e+03 2.964518224649566037e+03 3.036021674881952549e+03
2.238294910701573463e+04 3.007612982183423082e+04 1.578447033232399917e+03 3.902131359665755554e+03 7.115039563394104334e+03 2.504351772254875414e+03 1.042486881473240601e+03 6.218081670677729562e+03 2.451875849001335155e+02 6.343388153494925064e+01
3.981431459398534207e+04 2.323633228057717133e+04 3.349864866978934515e+03 1.689705244993971064e+03 3.203074906538109190e+03 5.489426846961907358e+03 7.452279147186599403e+03 5.575181797811313118e+03 7.199743428824467628e+03 4.102914700166374132e+03
2.871901592040065225e+04 3.766530876140191685e+04 6.762161718947511872e+03 3.280104478268538514e+03 9.539892545843886182e+02 5.228126330198927462e+03 1.612708532872116393e+03 5.000965895881280630e+03 1.284182250485284385e+03 1.008455100349191707e+04
7.930862447501636052e+04 3.401833931647293502e+04 3.197299590484457804e+04 3.778438261392373533e+03 1.192127974074286249e+04 3.770310008395475961e+03 5.740955241372402270e+03 3.880714453814296576e+03 4.547154104815124811e+03 2.391161216136809344e+03
2.768040762466894739e+04 2.538270487584306829e+04 3.648509111341821153e+03 5.561753766652019294e+03 1.115647888017287642e+03 1.610316382148799221e+03 6.013854511002531581e+03 8.090861701930676645e+03 3.802699411401865746e+02 2.637317008674444878e+02
4.738790568780744798e+04 1.497960984876264411e+04 7.020372051741650466e+03 3.577364007355507056e+03 2.853327527755600386e+03 3.641260342175206006e+03 1.491342256492245269e+03 6.465029782615383738e+03 4.963931928166987745e+03 3.171678221560359816e+03
3.273708366300564740e+04 3.570483924679896154e+04 3.822538024377322472e+02 4.697678902740761259e+03 1.731299944679543387e+03 6.734712024741329515e+02 8.055092995940940455e+03 9.387361074894488411e+03 1.035598216151897759e+02 1.361001744661223711e+03
4.199884674318049656e+04 6.544520991137330566e+04 3.296911175728746457e+01 9.274066836882626376e+03 2.500271723122910771e+04 9.988340559770669643e+03 1.352152288001079251e+04 5.751667669871302678e+03 4.927146012505262661e+03 1.038960364041932189e+04
4.940204605058758170e+04 2.638213211955899897e+04 9.242665139552982509e+03 3.384192299285003173e+03 6.466582373765575539e+03 1.096369347771912362e+04 2.150450203773798421e+03 6.466590628291214671e+02 6.519387773094045770e+03 8.102778558014946611e+03
